Açaí-Guaraná,Citrus,Estação,LAT,LONG,Maçã-Verde,Movimentação,Original_269,Original_473,Pêssego,TARGET,Tangerina,Tempo,Zero,_id,_rev,row
15,18,Sé,-23.55,-46.6333,24,192828,19,30,38,REABASTECER,9,2019-1-5,5,000ac62b7850525df9febd4a67092e4c,1-bd0c00a3aef7ec01e2913c353b5281d6,3965
21,13,Trianon-Masp,-23.5634,-46.6544,27,44929,17,11,15,NORMAL,34,2018-3-20,43,000ac62b7850525df9febd4a6709c8b0,1-b8c1e2d92da42c5b525a8c637b8da859,1520
2,42,Trianon-Masp,-23.5634,-46.6544,16,45724,37,45,34,REABASTECER,20,2018-3-25,7,000ac62b7850525df9febd4a670a1fc4,1-478375670f3edebdb23b5cc6235813c5,1525
24,39,Trianon-Masp,-23.5634,-46.6544,23,43807,6,55,33,NORMAL,23,2018-5-16,40,000ac62b7850525df9febd4a670e07e3,1-e4ba25cfd938688eba0cc243db2420f6,1576
35,20,Trianon-Masp,-23.5634,-46.6544,12,42974,40,64,43,NORMAL,29,2018-9-3,65,000ac62b7850525df9febd4a6716ba16,1-4752289463e7400c51654af901db4c5e,1683
13,11,Trianon-Masp,-23.5634,-46.6544,38,45366,60,30,43,NORMAL,38,2018-10-2,51,000ac62b7850525df9febd4a671839b2,1-98ca9529000b7c672386e82e82282e99,1712
43,43,Trianon-Masp,-23.5634,-46.6544,37,42113,39,86,32,NORMAL,26,2018-10-5,33,000ac62b7850525df9febd4a67187bf5,1-1c2362d0cbe134180a668de308ce3582,1715
13,22,Sé,-23.55,-46.6333,32,191903,50,6,11,REABASTECER,38,2019-10-11,28,000ac62b7850525df9febd4a671cac3d,1-7ea640257e7289bf09f4c4816d75d2c4,4241
43,15,Sé,-23.55,-46.6333,15,193972,65,57,26,NORMAL,27,2018-7-11,45,000ac62b7850525df9febd4a6723b2f1,1-e5e3e7acd4ad7d53a3d852f506d85bcd,3791
31,43,Trianon-Masp,-23.5634,-46.6544,10,45199,23,3,29,NORMAL,16,2019-2-24,13,000ac62b7850525df9febd4a6724992b,1-ca1e22b66aad78a4c77d8ff6436fa907,1854
16,37,Sé,-23.55,-46.6333,23,192651,31,27,43,REABASTECER,3,2018-11-9,65,000ac62b7850525df9febd4a672d2942,1-17b2b02c882cdce3d7e8f6f7402b75c1,3909
28,34,Brás,-23.5451,-46.6162,23,73513,60,23,38,NORMAL,12,2018-8-18,40,000ac62b7850525df9febd4a673478c9,1-2c7764649d7f4f92633b8256828a46b3,4548
29,6,Sé,-23.55,-46.6333,2,193062,31,86,38,REABASTECER,43,2019-7-24,33,000ac62b7850525df9febd4a6741faf4,1-cdcca15b2b89a9859321635ea10a586e,4164
14,27,Brás,-23.5451,-46.6162,24,73314,48,48,26,NORMAL,26,2019-7-16,29,000ac62b7850525df9febd4a674d1cd7,1-aae7c6752aa020d9f8ec584bc8dfd450,4876
20,16,Consolação,-23.5581,-46.6606,37,114588,65,18,13,NORMAL,41,2018-7-28,49,000ac62b7850525df9febd4a674e9ac1,1-c305911d6a70db711999307351d5a4ee,2368
16,27,Consolação,-23.5581,-46.6606,14,112385,65,86,20,NORMAL,43,2018-8-9,55,000ac62b7850525df9febd4a674fbe27,1-22a8aa98590193f365b74ec8a57182bc,2379
23,9,Brás,-23.5451,-46.6162,5,74493,65,55,11,NORMAL,29,2018-3-21,41,000ac62b7850525df9febd4a6752dc4a,1-1a48b9bf217b257ac220586dbb22ee12,4401
3,33,Barra Funda,-23.5542,-46.6707,37,148660,35,75,10,NORMAL,43,2018-3-2,35,000ac62b7850525df9febd4a675daf19,1-e39772f57c604efb30df8dd4bd6b39d0,5102
29,26,Barra Funda,-23.5542,-46.6707,33,147655,14,33,36,NORMAL,29,2018-3-6,13,000ac62b7850525df9febd4a675dd71b,1-75e97984e60535e6e676f72742d2ce4a,5106
36,8,Brás,-23.5451,-46.6162,38,72738,21,14,5,REABASTECER,21,2018-8-27,50,000ac62b7850525df9febd4a675e3053,1-6bca608c381adc8c2846a36152808c3a,4557
18,10,Brás,-23.5451,-46.6162,17,72106,46,63,16,NORMAL,41,2019-3-30,44,000ac62b7850525df9febd4a676db817,1-05d26256d5ec7e183f23202c6f8275a5,4770
43,40,Tamanduateí,-23.5929,-46.5897,24,51533,32,77,22,NORMAL,19,2018-2-9,18,000ac62b7850525df9febd4a67771842,1-6cda4d93a23f69a38c3a9221ac700f7f,2919
13,8,Barra Funda,-23.5542,-46.6707,27,148411,4,57,18,REABASTECER,16,2019-3-10,65,000ac62b7850525df9febd4a67785751,1-31f0251a5c752975e3fd57332be421df,5470
43,36,Tamanduateí,-23.5929,-46.5897,15,51449,25,39,30,NORMAL,21,2018-5-24,14,000ac62b7850525df9febd4a677f28b9,1-3496bcdce8d6b5a99a22aa35fa3b6a7c,3024
9,26,Barra Funda,-23.5542,-46.6707,11,146887,27,78,36,NORMAL,35,2018-7-14,17,000ac62b7850525df9febd4a678f6dfa,1-61ed22af1fc922e9e6f201e03fceea17,5234
28,14,Barra Funda,-23.5542,-46.6707,36,146939,59,24,17,NORMAL,17,2018-7-19,51,000ac62b7850525df9febd4a678f9e51,1-7f8ce0e061a7e158fc5270bb1d30c943,5239
26,39,Tatuapé,-23.5402,-46.5765,43,69218,54,41,43,NORMAL,25,2018-6-24,65,000ac62b7850525df9febd4a67999331,1-0df9e90215038a5c1ae841582bd40c52,5934
32,38,Tatuapé,-23.5402,-46.5765,22,70148,46,36,7,NORMAL,34,2018-7-12,3,000ac62b7850525df9febd4a679aca95,1-9acb3cfa0ed7edeb0e15e9f6f57e83ae,5952
26,34,Barra Funda,-23.5542,-46.6707,8,148213,43,43,29,NORMAL,23,2019-1-7,42,000ac62b7850525df9febd4a679bf8fa,1-0c31a6001be0e1dbe9e696b191efa397,5407
