_key,Open,High,Low,Close,Volume,Market cap
"Sep 08, 2020","10,369.31","10,414.78","9,945.11","10,131.52","33,430,927,462","187,267,336,728"
"Sep 07, 2020","10,281.00","10,399.15","9,916.49","10,369.56","33,703,098,409","191,657,203,885"
"Sep 06, 2020","10,167.22","10,353.93","10,056.89","10,280.35","37,071,460,174","189,997,214,393"
"Sep 05, 2020","10,512.53","10,581.57","9,946.68","10,169.57","44,916,565,292","187,940,141,276"
"Sep 04, 2020","10,230.37","10,663.92","10,207.94","10,511.81","29,965,130,374","194,255,818,704"
"Sep 03, 2020","11,407.19","11,443.02","10,182.47","10,245.30","31,927,261,555","189,322,069,063"
"Sep 02, 2020","11,964.82","11,964.82","11,290.79","11,414.03","28,037,405,299","210,909,793,681"
"Sep 01, 2020","11,679.32","12,067.08","11,601.13","11,970.48","27,311,555,343","221,181,001,607"
"Aug 31, 2020","11,713.31","11,768.88","11,598.32","11,680.82","22,285,928,250","215,817,677,822"
"Aug 30, 2020","11,508.71","11,715.26","11,492.38","11,711.51","19,760,127,945","216,373,660,045"
"Aug 29, 2020","11,541.05","11,585.64","11,466.29","11,506.87","17,485,597,759","212,583,870,983"
"Aug 28, 2020","11,325.30","11,545.62","11,316.42","11,542.50","19,807,127,588","213,231,661,583"
"Aug 27, 2020","11,485.61","11,570.79","11,185.94","11,323.40","23,240,415,076","209,172,436,817"
"Aug 26, 2020","11,366.89","11,530.05","11,296.99","11,488.36","22,466,660,958","212,210,534,428"
"Aug 25, 2020","11,773.59","11,778.30","11,189.85","11,366.14","26,301,509,932","209,942,744,481"
"Aug 24, 2020","11,663.69","11,807.63","11,623.25","11,774.60","20,681,511,755","217,477,962,650"
"Aug 23, 2020","11,679.70","11,713.43","11,559.92","11,664.85","18,482,062,658","215,439,967,321"
"Aug 22, 2020","11,585.48","11,689.41","11,448.81","11,681.83","20,224,191,306","215,742,068,895"
"Aug 21, 2020","11,878.03","11,899.26","11,564.98","11,592.49","23,762,425,999","214,082,401,861"
"Aug 20, 2020","11,761.50","11,900.41","11,710.06","11,878.37","20,175,242,945","219,350,310,326"
"Aug 19, 2020","11,990.88","12,028.92","11,687.33","11,758.28","24,502,851,117","217,122,068,305"
"Aug 18, 2020","12,251.90","12,335.71","11,954.53","11,991.23","26,043,227,672","221,413,097,553"
"Aug 17, 2020","11,895.66","12,359.06","11,806.70","12,254.40","28,227,687,027","226,261,747,567"
"Aug 16, 2020","11,866.69","11,934.90","11,737.19","11,892.80","20,583,375,490","219,576,092,170"
"Aug 15, 2020","11,768.70","11,963.20","11,768.70","11,865.70","23,354,924,400","219,064,372,745"
"Aug 14, 2020","11,772.66","12,150.99","11,685.46","11,768.87","24,237,958,589","217,265,120,503"
"Aug 13, 2020","11,588.41","11,796.40","11,216.87","11,784.14","27,522,199,497","217,534,728,413"
"Aug 12, 2020","11,404.60","11,748.40","11,249.61","11,584.93","25,064,548,486","213,846,666,475"
"Aug 11, 2020","11,881.65","11,932.71","11,195.71","11,410.53","27,039,782,640","210,616,121,945"
"Aug 10, 2020","11,662.26","12,045.14","11,662.26","11,878.11","26,114,112,569","219,235,405,395"
"Aug 09, 2020","11,737.33","11,806.06","11,548.78","11,675.74","17,489,608,833","215,490,364,255"
"Aug 08, 2020","11,604.55","11,800.06","11,558.43","11,754.05","17,572,057,837","216,924,147,851"
"Aug 07, 2020","11,778.89","11,898.04","11,408.59","11,601.47","23,132,312,867","214,097,928,027"
"Aug 06, 2020","11,749.87","11,902.34","11,598.71","11,779.77","23,400,740,340","217,377,233,001"
"Aug 05, 2020","11,203.82","11,786.62","11,158.29","11,747.02","24,411,254,471","216,761,492,406"
"Aug 04, 2020","11,246.20","11,385.38","11,094.15","11,205.89","21,250,197,042","206,767,135,617"
"Aug 03, 2020","11,043.77","11,453.08","11,012.41","11,246.35","20,271,713,443","207,503,423,456"
"Aug 02, 2020","11,758.76","12,034.14","11,018.13","11,053.61","27,410,067,336","203,936,136,730"
"Aug 01, 2020","11,322.57","11,794.78","11,239.68","11,759.59","26,075,670,303","216,950,669,098"
"Jul 31, 2020","11,110.21","11,415.86","10,987.05","11,323.47","23,160,469,766","208,895,308,529"
"Jul 30, 2020","11,099.83","11,169.36","10,895.46","11,111.21","22,857,247,901","204,969,047,788"
"Jul 29, 2020","10,912.95","11,304.40","10,856.14","11,100.47","24,617,249,715","204,761,455,133"
"Jul 28, 2020","11,017.46","11,204.33","10,632.63","10,912.82","28,766,551,142","201,290,022,193"
"Jul 27, 2020","9,905.22","11,298.22","9,903.97","10,990.87","35,359,749,590","202,719,581,737"
"Jul 26, 2020","9,680.23","10,023.81","9,652.85","9,905.17","20,507,998,997","182,685,328,095"
"Jul 25, 2020","9,539.49","9,704.56","9,530.21","9,677.11","16,610,070,933","178,469,614,078"
"Jul 24, 2020","9,585.51","9,623.34","9,481.45","9,536.89","16,552,768,325","175,875,016,548"
"Jul 23, 2020","9,527.14","9,610.25","9,483.00","9,581.07","18,146,399,002","176,680,237,480"
"Jul 22, 2020","9,375.08","9,530.52","9,319.65","9,525.36","16,532,254,884","175,644,844,408"
"Jul 21, 2020","9,162.51","9,407.26","9,149.39","9,374.89","18,069,581,956","172,861,732,402"
"Jul 20, 2020","9,187.22","9,214.27","9,137.51","9,164.23","13,755,604,146","168,970,262,859"
"Jul 19, 2020","9,158.01","9,201.40","9,097.63","9,185.82","12,939,002,784","169,360,219,986"
"Jul 18, 2020","9,151.18","9,230.98","9,100.82","9,159.04","12,252,601,475","168,858,972,269"
"Jul 17, 2020","9,131.81","9,182.25","9,089.20","9,151.39","13,944,570,749","168,710,427,574"
"Jul 16, 2020","9,191.98","9,214.31","9,088.95","9,132.23","15,713,967,523","168,350,501,976"
"Jul 15, 2020","9,241.90","9,275.33","9,171.93","9,192.84","15,844,731,575","169,460,074,576"
"Jul 14, 2020","9,238.70","9,283.84","9,171.66","9,243.21","18,085,038,362","170,380,670,525"
"Jul 13, 2020","9,277.20","9,306.40","9,224.29","9,243.61","17,519,821,266","170,379,677,119"
"Jul 12, 2020","9,241.06","9,319.42","9,197.45","9,276.50","14,452,361,907","170,977,422,928"
"Jul 11, 2020","9,277.51","9,293.53","9,199.49","9,240.35","13,249,910,444","170,302,234,778"
"Jul 10, 2020","9,273.36","9,287.47","9,118.00","9,278.81","16,860,035,605","171,001,933,827"
"Jul 09, 2020","9,427.99","9,431.38","9,235.00","9,277.97","18,000,702,524","170,977,231,638"
"Jul 08, 2020","9,253.02","9,450.34","9,249.50","9,428.33","19,702,359,883","173,738,543,115"
"Jul 07, 2020","9,349.16","9,360.62","9,201.82","9,252.28","13,839,652,595","170,485,472,276"
"Jul 06, 2020","9,072.85","9,375.47","9,058.66","9,375.47","17,889,263,252","172,746,103,840"
"Jul 05, 2020","9,126.09","9,162.18","8,977.02","9,073.94","12,903,406,143","167,181,726,154"
"Jul 04, 2020","9,084.23","9,183.30","9,053.63","9,132.49","12,290,528,515","168,251,076,678"
"Jul 03, 2020","9,124.84","9,202.34","9,058.79","9,087.30","13,078,970,999","167,409,720,388"
"Jul 02, 2020","9,231.14","9,274.96","9,036.62","9,123.41","16,338,916,796","168,065,586,387"
"Jul 01, 2020","9,145.99","9,309.75","9,104.73","9,228.33","15,971,550,355","169,988,756,578"
"Jun 30, 2020","9,185.58","9,217.84","9,084.84","9,137.99","15,735,797,744","168,315,606,321"
"Jun 29, 2020","9,140.03","9,237.57","9,041.88","9,190.85","16,460,547,078","169,280,659,246"
"Jun 28, 2020","9,048.46","9,197.55","8,975.53","9,143.58","14,560,870,760","168,401,806,137"
"Jun 27, 2020","9,167.82","9,207.81","8,998.22","9,045.39","17,273,093,144","166,584,831,506"
"Jun 26, 2020","9,260.99","9,310.52","9,101.74","9,162.92","18,341,465,837","168,741,367,622"
"Jun 25, 2020","9,314.13","9,340.16","9,095.32","9,264.81","18,616,048,626","170,608,289,504"
"Jun 24, 2020","9,632.15","9,680.37","9,278.23","9,313.61","18,961,716,076","171,498,781,280"
"Jun 23, 2020","9,644.08","9,670.54","9,547.25","9,629.66","17,006,433,272","177,310,052,079"
"Jun 22, 2020","9,300.92","9,655.07","9,296.87","9,648.72","21,104,009,514","177,651,397,437"
"Jun 21, 2020","9,330.93","9,401.11","9,300.43","9,303.63","15,324,301,169","171,289,415,079"
"Jun 20, 2020","9,290.96","9,394.97","9,247.38","9,332.34","17,130,541,557","171,809,438,651"
"Jun 19, 2020","9,410.29","9,440.88","9,274.30","9,288.02","19,632,223,107","170,985,625,732"
"Jun 18, 2020","9,481.57","9,482.78","9,328.40","9,411.84","17,770,083,003","173,256,688,664"
"Jun 17, 2020","9,533.78","9,540.42","9,327.34","9,480.26","20,177,709,879","174,508,805,561"
"Jun 16, 2020","9,454.27","9,579.43","9,400.45","9,538.02","21,565,537,209","175,563,963,385"
"Jun 15, 2020","9,386.04","9,504.86","8,990.18","9,450.70","26,699,704,768","173,947,607,772"
"Jun 14, 2020","9,477.55","9,482.27","9,347.59","9,386.79","18,991,732,746","172,763,239,787"
"Jun 13, 2020","9,480.74","9,493.21","9,396.01","9,475.28","17,564,322,315","174,381,819,725"
"Jun 12, 2020","9,320.69","9,540.47","9,285.85","9,480.84","22,610,564,515","174,474,896,922"
"Jun 11, 2020","9,870.08","9,938.30","9,263.07","9,321.78","30,247,143,440","171,538,133,043"
"Jun 10, 2020","9,794.12","9,908.90","9,728.29","9,870.09","25,706,567,601","181,616,765,438"
"Jun 09, 2020","9,774.36","9,836.37","9,664.72","9,795.70","23,717,842,783","180,237,817,527"
"Jun 08, 2020","9,760.06","9,782.31","9,675.89","9,771.49","21,486,346,312","179,782,576,534"
"Jun 07, 2020","9,653.00","9,768.50","9,458.15","9,758.85","25,015,250,846","179,540,253,701"
"Jun 06, 2020","9,664.90","9,773.43","9,591.02","9,653.68","20,438,419,222","177,595,657,884"
"Jun 05, 2020","9,800.22","9,869.24","9,663.22","9,665.53","23,509,628,646","177,801,825,145"
"Jun 04, 2020","9,655.85","9,887.61","9,525.25","9,800.64","25,921,805,072","180,276,153,545"
"Jun 03, 2020","9,533.76","9,682.86","9,471.85","9,656.72","25,007,459,262","177,619,631,126"
"Jun 02, 2020","10,162.97","10,182.34","9,460.57","9,529.80","39,137,252,109","175,277,218,229"
